id,id_station,nbre_pdc,available
160,FR*A16*P*WIIZ*61*_*_*_,2,True
161,FR*A16*P*WIIZ*16*_*_*_,2,True
162,FR*A16*P*WIIZ*20*_*_*_,2,True
163,FR*A16*P*WIIZ*20*_*_*_,2,True
164,FR*A16*P*WIIZ*21*_*_*_,2,True
165,FR*A16*P*WIIZ*81*_*_*_,2,True
166,FR*A16*P*WIIZ*29*_*_*_,2,True
167,FR*A16*P*WIIZ*65*_*_*_,2,True
168,FR*A16*P*WIIZ*79*_*_*_,2,True
169,FR*A16*P*WIIZ*91*_*_*_,2,True
170,FR*A16*P*WIIZ*64*_*_*_,2,True
171,FR*A16*P*WIIZ*14*_*_*_,2,True
172,FR*A16*P*WIIZ*67*_*_*_,2,True
173,FR*A16*P*WIIZ*62*_*_*_,2,True
174,FR*A16*P*WIIZ*94*_*_*_,2,True
175,FR*A16*P*WIIZ*63*_*_*_,2,True
176,FR*A16*P*WIIZ*78*_*_*_,2,True
177,FR*A16*P*WIIZ*90*_*_*_,2,True
178,FR*A16*P*WIIZ*35*_*_*_,2,True
179,FR*A16*P*WIIZ*82*_*_*_,2,True
180,FR*A16*P*WIIZ*48*_*_*_,2,True
181,FR*A16*P*WIIZ*47*_*_*_,2,True
182,FR*A16*P*WIIZ*41*_*_*_,2,True
183,FR*A16*P*WIIZ*27*_*_*_,2,True
184,FR*A16*P*WIIZ*41*_*_*_,2,True
185,FR*A16*P*WIIZ*83*_*_*_,2,True
186,FR*A16*P*WIIZ*43*_*_*_,2,True
187,FR*A16*P*WIIZ*45*_*_*_,2,True
188,FR*A22*P06083*008,2,True
189,FR*A22*P06086*001,2,True
190,FR*A22*P06083*004,2,True
191,FR*A22*P06012*003,2,True
192,FR*A22*P06083*006,2,True
193,FR*A22*P06162*001,2,True
194,FR*A22*P06150*002,2,True
195,FR*A22*P06062*001,2,True
196,FR*A22*P06162*001,2,True
197,FR*A22*P06067*001,2,True
198,FR*A22*P06023*001,2,True
199,FR*MW1*S87135,2,True
200,FR*MW1*S87143,4,True
201,FR*MW1*S30,2,True
202,FR*A16*P*WIIZ*73*_*_*_,2,True
203,FR*A16*P*WIIZ*74*_*_*_,2,True
204,FR*A16*P*WIIZ*10*_*_*_,2,True
205,FR*A16*P*WIIZ*52*_*_*_,2,True
206,FR*A16*P*WIIZ*54*_*_*_,2,True
207,FR*A16*P*WIIZ*51*_*_*_,2,True
208,FR*A16*P*WIIZ*76*_*_*_,2,True
209,FR*A16*P*WIIZ*69*_*_*_,2,True
210,FR*A16*P*WIIZ*75*_*_*_,2,True
211,FR*A16*P*WIIZ*57*_*_*_,2,True
212,FR*A16*P*WIIZ*51*_*_*_,2,True
213,FR*A16*P*WIIZ*54*_*_*_,2,True
214,FR*A16*P*WIIZ*10*_*_*_,2,True
215,FR*A16*P*WIIZ*58*_*_*_,2,True
216,FR*A16*P*WIIZ*19*_*_*_,2,True
217,FR*A16*P*WIIZ*37*_*_*_,2,True
218,FR*A51*P51649*001,2,True
219,FR*A51*P51649*001,2,True
220,FR*A21*P01276*001,2,True
221,FR*A15*P01244*001,4,True
222,FR*ABA*P13058*001,2,True
223,FR*ABA*P13100*004,2,True
224,FR*ABA*P13038*001,2,True
225,FR*ABA*P13038*001,2,True
226,FR*ABA*P13057*001,2,True
227,FR*ABA*P13100*002,2,True
228,FR*ABA*P13034*001,2,True
229,FR*OTH*POTHR*145,2,True
230,FR*OTH*POTHR*150,2,True
231,FR*OTH*POTHR*144,2,True
232,FR*OTH*POTHR*149,2,True
233,FR*SSD*PCEETRUS59656*1,4,True
234,FR*BSP*28000000000252,1,True
235,FR*MW1*S95041,2,True
236,FR*MW1*S94977,2,True
237,FR*G52*P33281*001,4,True
238,FR*G52*P34079*001,2,True
239,FR*G52*P47031*001,2,True
240,FR*G52*P34032*001,0,True
241,FR*G52*P73018*001,2,True
242,FR*G52*P31467*001,8,True
243,FR*G52*P85191*001,2,True
244,FR*G52*P24256*001,4,True
245,FR*G52*P24037*001,2,True
246,FR*G52*P30189*001,2,True
247,FR*G52*P31467*002,4,True
248,FR*G52*P93005*001,2,True
249,FR*G52*P33281*001,4,True
250,FR*G52*P24037*001,2,True
251,FR*G52*P33281*001,4,True
252,FR*G52*P85191*001,2,True
253,FR*G52*P31149*001,0,True
254,FR*G52*P31467*001,8,True
255,FR*G58*P31451*001,6,True
256,FR*G58*P31451*001,6,True
257,FR*CN1*PFCJCBB,3,True
258,FR*CN1*P58906910D54E7,2,True
259,FR*CN1*PFCJCBB,3,True
260,FR*CN1*PWFKGFX,2,True
261,FR*CN1*PMCUAXH,2,True
262,FR*CN1*P58D280159609B,2,True
263,FR*CN1*PMCUAXH,2,True
264,FR*CN1*PTUZTTN,2,True
265,FR*SSD*PCASINOGOLDENPALACE62200*1,2,True
266,FR*G05*P83144*001,8,True
267,FR*G05*P83144*001,8,True
268,FR*G44*PSOFIDACITROEN59210*1,2,True
269,FR*G44*PSOFIDACITROEN59190*1,5,True
270,FR*G44*PSOFIDACITROEN59190*1,5,True
271,FR*G44*PSOFIDACITROEN62950*1,4,True
272,FR*G44*PSOFIDACITROEN62950*1,4,True
273,FR*G44*PSOFIDACITROEN62500*1,5,True
274,FR*H06*P62041*007,2,True
275,FR*H06*P62041*014,2,True
276,FR*H06*P62041*009,2,True
277,FR*H06*P62041*009,2,True
278,FR*H06*P62041*001,2,True
279,FR*H06*P62004*001,2,True
280,FR*H06*P62041*012,2,True
281,FR*H06*P62041*006,2,True
282,FR*H06*P62004*001,2,True
283,FR*H04*P59028*002,2,True
284,FR*H04*P59178*010,2,True
285,FR*H04*P59569*001,2,True
286,FR*H04*P59170*003,3,True
287,FR*H04*P59569*003,2,True
288,FR*H04*P59178*013,2,True
289,FR*H04*P59178*018,2,True
290,FR*H04*P59178*007,2,True
291,FR*H04*P59028*001,3,True
292,FR*H04*P59178*006,2,True
293,FR*H04*P59509*001,2,True
294,FR*H04*P59178*016,2,True
295,FR*H04*P59329*001,3,True
296,FR*H04*P59178*004,2,True
297,FR*H04*P59178*008,2,True
298,FR*H04*P59569*001,2,True
299,FR*H04*P59569*002,2,True
300,FR*H04*P59234*001,2,True
301,FR*H04*P59170*002,2,True
302,FR*H04*P59178*012,2,True
303,FR*H04*P59170*001,2,True
304,FR*H02*P59370*001,2,True
305,FR*H02*P59033*002,2,True
306,FR*H02*P59324*001,3,True
307,FR*V75*PPX20*05,6,True
308,FR*V75*PPX12*09,5,True
309,FR*V75*PPX20*08,6,True
310,FR*V75*PPX06*02,6,True
311,FR*V75*PPX06*03,4,True
312,FR*V75*PPX18*07,7,True
313,FR*V75*PPX10*08,4,True
314,FR*V75*PPX20*07,6,True
315,FR*V75*PPX16*09,6,True
316,FR*V75*PPX07*06,5,True
317,FR*V75*PPX02*03,4,True
318,FR*V75*PPX15*16,5,True
319,FR*V75*P9007*03,3,True
320,FR*V75*PPX07*09,5,True
321,FR*V75*PPX15*02,7,True
322,FR*V75*PPX08*13,6,True
323,FR*V75*PPX17*02,6,True
324,FR*V75*P9012*02,3,True
325,FR*V75*PPX08*13,6,True
326,FR*V75*P9011*01,3,True
327,FR*V75*PPX15*27,6,True
328,FR*V75*P9015*05,3,True
329,FR*V75*PPX11*05,4,True
330,FR*V75*P9013*01,3,True
331,FR*V75*PPX13*13,6,True
332,FR*V75*PPX15*28,6,True
333,FR*V75*PPX17*11,6,True
334,FR*V75*PPX20*11,6,True
335,FR*V75*P9012*05,3,True
336,FR*V75*PPX06*06,6,True
337,FR*V75*PPX20*10,5,True
338,FR*V75*PPX05*02,6,True
339,FR*V75*PPX20*03,6,True
340,FR*V75*PPX17*03,6,True
341,FR*V75*PPX11*07,4,True
342,FR*V75*PPX19*09,6,True
343,FR*V75*PPX13*07,6,True
344,FR*V75*PPX16*13,6,True
345,FR*V75*PPX09*01,7,True
346,FR*V75*PPX15*19,7,True
347,FR*V75*PPX15*21,7,True
348,FR*V75*PPX15*09,4,True
349,FR*V75*PPX13*13,6,True
350,FR*V75*P9006*04,3,True
351,FR*V75*PPX09*05,5,True
352,FR*V75*P9006*02,3,True
353,FR*V75*PPX13*10,4,True
354,FR*V75*PPX13*05,6,True
